Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Organic carbon (wt%),Carbon (wt%),Hydrogen (wt%),Nitrogen (wt%),Sulfur (wt%),Container number,Sample mass (mg),CHNS datafile
374,U1521,A,31,R,1,W,44.0,45.0,285.74,285.750,285.740,285.750,,0.960455894470215,0,0.0902959257364273,0,8,11.9168,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,35,R,1,W,29.0,30.0,323.99,324.000,323.990,324.000,,0.599813342094421,0,0.066286101937294,0,9,12.622,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,35,R,3,W,36.0,37.0,325.98,325.990,325.980,325.990,,0.877683281898499,0,0.0643799751996994,0,10,13.2223,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,36,R,3,W,55.0,56.0,336.69,336.700,336.690,336.700,,0.748165428638458,0,0.0420215353369713,0,11,13.0672,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,37,R,2,W,100.0,101.0,345.27,345.280,345.270,345.280,,7.02203416824341,0,0.0202827025204897,0,12,12.5126,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,37,R,2,W,100.0,101.0,345.27,345.280,345.270,345.280,,6.8718433380127,0,0.0228965952992439,0,2,12.2992,374-CHNS-45448891-X374_U1521A_run3_weight.XLS
374,U1521,A,39,R,2,W,62.0,63.0,359.2,359.210,359.200,359.210,,0.544437110424042,0,0.0382138341665268,0,13,11.8013,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,39,R,2,W,62.0,63.0,359.2,359.210,359.200,359.210,,0.591908097267151,0,0.0515027865767479,0,1,13.0961,374-CHNS-45448891-X374_U1521A_run3_weight.XLS
374,U1521,A,40,R,2,W,68.0,69.0,364.24,364.250,364.240,364.250,,0.600039839744568,0,0.0447991415858269,0,14,13.841,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,41,R,3,W,16.0,17.0,369.77,369.780,369.735,369.745,,0.647387266159058,0,0.040293850004673,0,15,12.5178,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,42,R,2,W,63.0,64.0,373.51,373.520,373.510,373.520,,0.712496936321259,0,0.039444275200367,0,16,13.248,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,43,R,1,W,91.0,92.0,377.41,377.420,377.410,377.420,,0.719092607498169,0,0.0338945090770721,0,17,11.7452,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,44,R,1,W,16.0,18.0,381.46,381.480,381.460,381.480,,0.78343403339386,0,0.0478950776159763,0,18,12.1741,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,45,R,2,W,97.0,98.0,393.03,393.040,393.030,393.040,,0.415697664022446,0,0.056916169822216,0,20,13.1392,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,46,R,1,W,47.0,48.0,400.97,400.980,400.970,400.980,,0.479311108589172,0,0.0499408431351185,0,21,12.6462,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,47,R,4,W,82.0,83.0,414.96,414.970,414.960,414.970,,0.521832883358002,0,0.0486635379493237,0,22,12.7976,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,48,R,4,W,47.0,48.0,424.46,424.470,424.460,424.470,,0.47911149263382,0,0.0486164018511772,0,23,12.6438,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,49,R,4,W,75.0,77.0,433.81,433.830,433.792,433.812,,0.488879024982452,0,0.0474616102874279,0,24,12.3567,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,50,R,4,W,61.0,63.0,443.81,443.830,443.690,443.710,,0.483161151409149,0,0.0466905869543552,0,25,12.1943,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,51,R,2,W,45.0,46.0,450.05,450.060,450.050,450.060,,0.575258612632752,0,0.0592452213168144,0,26,12.0643,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,52,R,4,W,61.0,63.0,463.08,463.100,463.080,463.100,,0.487027168273926,0,0.047748226672411,0,27,13.1565,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,53,R,4,W,66.0,68.0,471.84,471.860,471.651,471.670,,0.432351559400558,0,0.0396484322845936,0,28,11.9474,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,54,R,2,W,71.0,72.0,479.4,479.410,479.296,479.305,,0.486026495695114,0,0.0486924946308136,0,29,12.2398,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,55,R,2,W,82.0,83.0,489.11,489.120,489.110,489.120,,0.558721780776978,0,0.0421644374728203,0,30,12.1541,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,55,R,2,W,82.0,83.0,489.11,489.120,489.110,489.120,,0.479338645935059,0,0.0512567721307278,0,3,12.3538,374-CHNS-45448891-X374_U1521A_run3_weight.XLS
374,U1521,A,56,R,2,W,94.0,95.0,498.93,498.940,498.930,498.940,,0.461978852748871,0,0.0435716137290001,0,39,12.069,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,57,R,1,W,62.0,63.0,506.72,506.730,506.720,506.730,,0.418890625238419,0,0.0446505658328533,0,32,12.698,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,58,R,1,W,46.0,47.0,516.16,516.170,516.160,516.170,,0.370652556419373,0,0.0388958528637886,0,33,13.2633,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,58,R,4,W,12.0,13.0,520.03,520.040,520.030,520.040,,0.16155332326889,0,0.039923682808876,0,34,14.3814,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,58,R,6,W,23.0,24.0,522.97,522.980,522.970,522.980,,0.276257872581482,0,0.0385498069226742,0,35,11.5845,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,59,R,1,W,77.0,78.0,526.07,526.080,526.070,526.080,,0.444343626499176,0,0.046159029006958,0,40,13.2664,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,60,R,3,W,42.0,43.0,537.7,537.710,537.700,537.710,,0.466550797224045,0,0.0357406251132488,0,41,12.6847,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,61,R,4,W,52.0,53.0,549.08,549.090,548.888,548.898,,0.486935913562775,0,0.0341903418302536,0,43,12.6254,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,62,R,4,W,74.0,75.0,558.68,558.690,558.680,558.690,,0.418190211057663,0,0.0345077775418758,0,36,12.3081,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,63,R,3,W,98.0,99.0,567.63,567.640,567.630,567.640,,0.410603165626526,0,0.0582432076334953,0,37,13.5093,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,64,R,4,W,71.0,72.0,577.91,577.920,577.910,577.920,,0.476707756519318,0,0.0344052389264107,0,44,14.8778,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,65,R,3,W,90.0,91.0,586.66,586.670,586.660,586.670,,0.513526380062103,0,0.033513531088829,0,38,11.9305,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,66,R,4,W,78.0,80.0,597.38,597.400,597.335,597.355,,0.517548441886902,0,0.0443686135113239,0,45,14.551,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,67,R,4,W,55.0,57.0,606.62,606.640,606.434,606.454,,0.561086058616638,0,0.0390315465629101,0,46,12.0216,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,68,R,4,W,53.0,55.0,616.4,616.420,616.400,616.420,,0.616765797138214,0,0.03922538459301,0,47,11.526,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,69,R,4,W,78.0,80.0,626.17,626.190,626.170,626.190,,0.471308439970016,0,0.0363695956766605,0,48,12.2864,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,70,R,5,W,45.0,47.0,636.86,636.880,636.860,636.880,,0.470934957265854,0,0.034644540399313,0,49,12.1155,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
374,U1521,A,71,R,3,W,78.0,80.0,643.93,643.950,643.930,643.950,,0.504641652107239,0,0.0325238890945911,0,50,10.9846,374-CHNS-45446401-X374_U1521A_run3_weight.XLS
