Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CSF-B (m),Magnetic susceptibility (SI x 10^-5),Configuration filename,Timestamp (UTC),Instrument,Instrument group,Text ID,Comments
374,U1523,E,1,H,2,A,92.5,2.425,2.337,4.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,95.0,2.45,2.361,5.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,97.5,2.475,2.385,5.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,100.0,2.5,2.409,8.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,102.5,2.525,2.433,7.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,105.0,2.55,2.457,2.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,107.5,2.575,2.481,8.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,110.0,2.6,2.505,7.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,112.5,2.625,2.530,5.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,115.0,2.65,2.554,14.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,117.5,2.675,2.578,10.67,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,120.0,2.7,2.602,21.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,122.5,2.725,2.626,26.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,125.0,2.75,2.650,85.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,127.5,2.775,2.674,32.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,130.0,2.8,2.698,87.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,132.5,2.825,2.722,61.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,135.0,2.85,2.746,58.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,137.5,2.875,2.771,60.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,140.0,2.9,2.795,41.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,142.5,2.925,2.819,24.33,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,145.0,2.95,2.843,29.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,2,A,147.5,2.975,2.867,79.00,,2018-02-03 09:07:44,MS2K-695,SHMSL,SHLF9348751,
374,U1523,E,1,H,3,A,2.5,3.025,2.915,40.00,374-MSPOINT-45192531-i_pi_ms.ini,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,5.0,3.05,2.939,219.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,7.5,3.075,2.963,103.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,10.0,3.1,2.987,24.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,12.5,3.125,3.011,29.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,15.0,3.15,3.035,17.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,17.5,3.175,3.060,19.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,20.0,3.2,3.084,25.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,22.5,3.225,3.108,51.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,25.0,3.25,3.132,45.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,27.5,3.275,3.156,69.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,30.0,3.3,3.180,54.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,32.5,3.325,3.204,37.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,35.0,3.35,3.228,55.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,37.5,3.375,3.252,52.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,40.0,3.4,3.276,41.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,42.5,3.425,3.300,48.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,45.0,3.45,3.325,58.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,47.5,3.475,3.349,62.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,50.0,3.5,3.373,45.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,52.5,3.525,3.397,55.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,55.0,3.55,3.421,75.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,57.5,3.575,3.445,79.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,60.0,3.6,3.469,79.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,62.5,3.625,3.493,49.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,65.0,3.65,3.517,46.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,67.5,3.675,3.541,44.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,70.0,3.7,3.565,157.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,72.5,3.725,3.589,35.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,75.0,3.75,3.614,37.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,77.5,3.775,3.638,26.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,80.0,3.8,3.662,23.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,82.5,3.825,3.686,20.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,85.0,3.85,3.710,28.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,87.5,3.875,3.734,26.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,90.0,3.9,3.758,20.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,92.5,3.925,3.782,24.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,95.0,3.95,3.806,29.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,97.5,3.975,3.830,35.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,100.0,4,3.854,32.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,102.5,4.025,3.878,71.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,105.0,4.05,3.903,40.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,107.5,4.075,3.927,50.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,110.0,4.1,3.951,55.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,112.5,4.125,3.975,43.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,115.0,4.15,3.999,29.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,117.5,4.175,4.023,45.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,120.0,4.2,4.047,32.33,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,122.5,4.225,4.071,27.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,125.0,4.25,4.095,33.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,127.5,4.275,4.119,30.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,130.0,4.3,4.143,42.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,132.5,4.325,4.167,56.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,135.0,4.35,4.192,44.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,137.5,4.375,4.216,51.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,140.0,4.4,4.240,42.67,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,142.5,4.425,4.264,29.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
374,U1523,E,1,H,3,A,145.0,4.45,4.288,48.00,,2018-02-03 08:36:54,MS2K-695,SHMSL,SHLF9348781,
